iter	Passed	Remaining
0	3	3082
1	4	2401
2	6	2118
3	7	1959
4	9	1892
5	11	1826
6	12	1841
7	15	1909
8	17	1894
9	18	1849
10	20	1807
11	21	1779
12	23	1763
13	24	1751
14	26	1751
15	28	1751
16	30	1773
17	32	1749
18	33	1728
19	34	1709
20	36	1695
21	37	1684
22	39	1668
23	40	1658
24	42	1645
25	44	1660
26	46	1663
27	47	1650
28	49	1643
29	50	1633
30	51	1622
31	53	1609
32	54	1602
33	56	1600
34	58	1599
35	60	1624
36	62	1632
37	65	1652
38	66	1650
39	68	1650
40	70	1647
41	71	1637
42	73	1637
43	76	1654
44	78	1665
45	80	1670
46	82	1667
47	83	1661
48	85	1655
49	86	1650
50	89	1659
51	91	1664
52	93	1662
53	94	1657
54	96	1652
55	97	1648
56	99	1643
57	100	1638
58	102	1640
59	105	1651
60	107	1650
61	109	1649
62	110	1644
63	112	1642
64	113	1638
65	115	1637
66	117	1637
67	120	1648
68	122	1649
69	123	1645
70	125	1641
71	127	1636
72	128	1633
73	130	1629
74	131	1627
75	134	1636
76	136	1637
77	138	1634
78	139	1629
79	141	1625
80	142	1620
81	144	1615
82	145	1604
83	146	1599
84	149	1604
85	152	1618
86	154	1621
87	156	1619
88	157	1615
89	159	1610
90	160	1607
91	164	1622
92	166	1622
93	168	1625
94	170	1624
95	172	1627
96	174	1626
97	176	1621
98	178	1622
99	181	1633
100	183	1631
101	184	1627
102	186	1623
103	187	1619
104	189	1615
105	191	1611
106	193	1614
107	195	1614
108	197	1610
109	198	1605
110	200	1602
111	201	1596
112	202	1592
113	204	1590
114	206	1586
115	208	1592
116	210	1590
117	212	1587
118	214	1589
119	216	1585
120	217	1582
121	219	1576
122	221	1577
123	224	1584
124	225	1581
125	227	1578
126	228	1571
127	230	1568
128	231	1565
129	233	1561
130	234	1557
131	236	1557
132	239	1559
133	241	1557
134	242	1553
135	243	1548
136	245	1543
137	246	1539
138	247	1534
139	249	1531
140	251	1529
141	253	1533
142	255	1532
143	257	1530
144	259	1528
145	260	1525
146	262	1521
